"DETECT_EQUIP_NO","POSITION_NO","BAR_CODE","LOAD_CURRENT","PF","AVE_ERR"
"20","34","3730001000000411740672","05","01","-0.0222"
"20","36","3730001000000411738983","05","01","+0.0389"
"20","37","3730001000000411807658","05","01","-0.0133"
"3","22","3730001000000411846503","05","01","+0.0044"
"3","29","3730001000000411846480","05","01","+0.0100"
"3","42","3730001000000411853617","05","01","-0.0166"
"16","18","3730001000000411811990","05","01","+0.0233"
"16","20","3730001000000411717162","05","01","+0.0155"
"16","21","3730001000000411753160","05","01","+0.0456"
"16","31","3730001000000411716684","05","01","-0.0044"
"16","36","3730001000000411717773","05","01","+0.0300"
"16","46","3730001000000411754020","05","01","+0.0100"
"16","53","3730001000000411718008","05","01","-61.6748"
"16","55","3730001000000411718046","05","01","+0.0088"
"16","56","3730001000000411717353","05","01","+0.0277"
"13","27","3730001000000411775988","05","01","+0.0678"
"13","30","3730001000000411776411","05","01","+0.0433"
"13","38","3730001000000411755461","05","01","+0.0533"
"7","23","3730001000000411721350","05","01","-0.0266"
"7","31","3730001000000411722319","05","01","-0.0255"
"7","39","3730001000000411801175","05","01","-0.0378"
"7","56","3730001000000411732646","05","01","-0.0034"
"7","30","3730001000000411757496","05","01","+0.1536"
"7","43","3730001000000411763862","05","01","-0.0133"
"7","51","3730001000000411778309","05","01","-0.0222"
"7","53","3730001000000411775780","05","01","-0.0344"
"7","54","3730001000000411777654","05","01","+0.0011"
"7","55","3730001000000411763152","05","01","-0.0033"
"5","1","3730001000000411741723","05","01","-0.0100"
"5","5","3730001000000411739324","05","01","+0.0355"
"13","28","3730001000000411841898","05","01","+0.0022"
"13","31","3730001000000411842123","05","01","+0.0189"
"13","40","3730001000000411844349","05","01","+0.0133"
"13","49","3730001000000411860240","05","01","+0.0200"
"13","52","3730001000000411858254","05","01","+0.0100"
"13","57","3730001000000411844233","05","01","+0.0333"
"5","9","3730001000000411561147","05","01","+0.0656"
"5","17","3730001000000411584498","05","01","+0.0277"
"5","31","3730001000000411518523","05","01","+0.0233"
"5","33","3730001000000411560379","05","01","+0.0089"
"5","37","3730001000000411562342","05","01","+0.0255"
"15","48","3730001000000411560805","05","01","-0.0222"
"15","49","3730001000000411519858","05","01","+0.0011"
"15","51","3730001000000411518691","05","01","+0.0166"
